mesurement	 time stamp	N1S0	N3P0	 Ntot	ex.rate	time stamp 2		# AOM frequency A	# AOM frequency B	# Zeeman shift (Hz)	# fHgAOM (Hz)	# drift rate A	# drift rate B
936.000	-0.112	936.000	3512091292.310	2244.422	528.558	2772.980	0.191	1.716	0.080	-0.613	-0.154
937.000	1.767	937.000	3512091293.810	1187.079	264.920	1452.000	0.182	1.716	0.080	-0.613	-0.154
938.000	1.767	938.000	3512091295.320	1438.739	173.160	1611.899	0.107	1.716	0.429	-0.613	-0.154
939.000	2.331	939.000	3512091296.820	1325.252	327.179	1652.431	0.198	1.716	0.429	-0.613	-0.154
940.000	2.331	940.000	3512091298.310	1487.535	204.931	1692.465	0.121	1.716	0.429	-0.026	-0.154
941.000	2.345	941.000	3512091299.820	2069.752	541.582	2611.334	0.207	1.716	0.429	-0.026	-0.154
942.000	2.345	942.000	3512091301.311	2129.426	703.987	2833.413	0.248	1.716	0.429	-0.026	-1.200
943.000	3.550	943.000	3512091302.811	2591.542	329.054	2920.595	0.113	1.716	0.429	-0.026	-1.200
944.000	3.550	944.000	3512091304.309	2357.643	424.168	2781.811	0.152	-0.667	0.429	-0.026	-1.200
945.000	2.972	945.000	3512091305.809	1156.710	173.062	1329.771	0.130	-0.667	0.429	-0.026	-1.200
946.000	2.972	946.000	3512091307.309	1244.800	319.286	1564.085	0.204	-0.667	-0.684	-0.026	-1.200
947.000	2.349	947.000	3512091308.811	1529.981	224.960	1754.941	0.128	-0.667	-0.684	-0.026	-1.200
948.000	2.349	948.000	3512091310.310	1616.827	213.416	1830.244	0.117	-0.667	-0.684	0.365	-1.200
949.000	1.863	949.000	3512091311.811	2045.954	468.766	2514.720	0.186	-0.667	-0.684	0.365	-1.200
950.000	1.863	950.000	3512091313.321	2216.805	347.899	2564.705	0.136	-0.667	-0.684	0.365	0.354
951.000	1.575	951.000	3512091314.810	2405.195	473.699	2878.894	0.165	-0.667	-0.684	0.365	0.354
952.000	1.575	952.000	3512091316.309	2263.869	629.494	2893.363	0.218	0.658	-0.684	0.365	0.354
953.000	2.380	953.000	3512091317.809	988.523	434.528	1423.051	0.305	0.658	-0.684	0.365	0.354
954.000	2.380	954.000	3512091319.311	1282.584	314.846	1597.430	0.197	0.658	-0.103	0.365	0.354
955.000	2.345	955.000	3512091320.811	1276.679	304.880	1581.559	0.193	0.658	-0.103	0.365	0.354
956.000	2.345	956.000	3512091322.310	1496.725	245.680	1742.406	0.141	0.658	-0.103	-0.452	0.354
957.000	2.759	957.000	3512091323.810	1955.733	691.358	2647.091	0.261	0.658	-0.103	-0.452	0.354
958.000	2.759	958.000	3512091325.311	2380.198	196.544	2576.742	0.076	0.658	-0.103	-0.452	0.472
959.000	2.261	959.000	3512091326.812	1648.174	1151.342	2799.517	0.411	0.658	-0.103	-0.452	0.472
960.000	2.261	960.000	3512091328.310	2353.202	467.977	2821.179	0.166	-0.963	-0.103	-0.452	0.472
961.000	1.357	961.000	3512091329.809	1051.215	336.256	1387.472	0.242	-0.963	-0.103	-0.452	0.472
962.000	1.357	962.000	3512091331.311	1334.754	96.891	1431.645	0.068	-0.963	-0.461	-0.452	0.472
963.000	0.923	963.000	3512091332.810	1229.393	532.011	1761.404	0.302	-0.963	-0.461	-0.452	0.472
964.000	0.923	964.000	3512091334.311	1474.836	224.566	1699.402	0.132	-0.963	-0.461	-1.645	0.472
965.000	2.635	965.000	3512091335.811	1913.730	606.110	2519.840	0.241	-0.963	-0.461	-1.645	0.472
966.000	2.635	966.000	3512091337.312	2117.305	559.243	2676.548	0.209	-0.963	-0.461	-1.645	-2.183
967.000	4.919	967.000	3512091338.812	2542.436	461.168	3003.604	0.154	-0.963	-0.461	-1.645	-2.183
968.000	4.919	968.000	3512091340.311	1901.210	886.521	2787.730	0.318	-1.554	-0.461	-1.645	-2.183
969.000	3.266	969.000	3512091341.821	1233.833	240.944	1474.777	0.163	-1.554	-0.461	-1.645	-2.183
970.000	3.266	970.000	3512091343.321	933.023	431.075	1364.098	0.316	-1.554	-1.511	-1.645	-2.183
971.000	1.647	971.000	3512091344.811	1341.103	319.483	1660.586	0.192	-1.554	-1.511	-1.645	-2.183
972.000	1.647	972.000	3512091346.310	1282.495	453.670	1736.165	0.261	-1.554	-1.511	-0.281	-2.183
973.000	1.990	973.000	3512091347.811	2301.121	180.659	2481.780	0.073	-1.554	-1.511	-0.281	-2.183
974.000	1.990	974.000	3512091349.312	1893.662	740.494	2634.156	0.281	-1.554	-1.511	-0.281	1.463
975.000	0.526	975.000	3512091350.811	2022.644	602.065	2624.708	0.229	-1.554	-1.511	-0.281	1.463
976.000	0.526	976.000	3512091352.309	2363.369	425.056	2788.426	0.152	1.358	-1.511	-0.281	1.463
977.000	1.859	977.000	3512091353.811	1236.808	238.576	1475.384	0.162	1.358	-1.511	-0.281	1.463
978.000	1.859	978.000	3512091355.311	1254.434	161.517	1415.952	0.114	1.358	0.613	-0.281	1.463
979.000	2.381	979.000	3512091356.812	1465.379	325.896	1791.275	0.182	1.358	0.613	-0.281	1.463
