F,G,P
2.52000933990e06,1.91815752114e01,1.49901535034e02
2.70961320660e06,1.88598751407e01,1.43854751587e02
2.91348274520e06,1.86930901904e01,1.45569595337e02
3.13269129550e06,2.04556192522e01,1.42108886719e02
3.36839295480e06,2.00739912550e01,1.34555679321e02
3.62182865390e06,1.96999562470e01,1.22498245239e02
3.89433269050e06,1.53601196967e01,1.19851325989e02
4.18733975390e06,1.47024527408e01,1.14747436523e02
4.50239247850e06,1.25750422686e01,1.16548583984e02
4.84114956550e06,1.10676057408e01,1.25182922363e02
5.20539451590e06,1.43500897763e01,1.29938644409e02
5.59704501990e06,1.69619956331e01,1.17613777161e02
6.01816305350e06,1.91626142673e01,9.94251937866e01
6.47096573460e06,9.64976689247e00,4.37981681824e01
6.95783699550e06,6.84471881341e00,1.20385475159e02
7.48134013390e06,1.00114918625e01,1.17397094727e02
8.04423130860e06,1.12084043857e01,1.10498565674e02
8.64947404980e06,1.05757094663e01,1.01988441467e02
9.30025486200e06,1.17568387650e01,9.99134063721e01
1.00000000000e07,1.15503254648e01,9.01405334473e01
