mesurement	 time stamp	N1S0	N3P0	 Ntot	ex.rate	time stamp 2		# AOM frequency A	# AOM frequency B	# Zeeman shift (Hz)	# fHgAOM (Hz)	# drift rate A	# drift rate B
553.000	0.244	553.000	3511943599.326	1186.458	444.691	1631.149	0.273	2.130	-2.316	0.957	-0.127
554.000	0.244	554.000	3511943600.826	1358.330	342.867	1701.197	0.202	2.130	-1.135	0.957	-0.127
555.000	-1.098	555.000	3511943602.327	1588.234	168.917	1757.151	0.096	2.130	-1.135	0.957	-0.127
564.000	1.447	564.000	3511943615.828	1534.554	253.376	1787.931	0.142	-0.313	2.254	0.046	-0.479
565.000	1.572	565.000	3511943617.327	795.737	446.270	1242.007	0.359	-0.313	2.254	0.046	-0.479
566.000	1.572	566.000	3511943618.828	1039.361	128.760	1168.121	0.110	-0.313	2.254	0.046	0.924
567.000	0.846	567.000	3511943620.328	562.016	594.665	1156.680	0.514	-0.313	2.254	0.046	0.924
568.000	0.846	568.000	3511943621.827	1049.084	206.510	1255.594	0.164	-1.975	2.254	0.046	0.924
569.000	-1.267	569.000	3511943623.328	1265.668	547.502	1813.169	0.302	-1.975	2.254	0.046	0.924
570.000	-1.267	570.000	3511943624.837	962.904	506.160	1469.064	0.345	-1.975	-0.189	0.046	0.924
571.000	-1.696	571.000	3511943626.329	641.536	1027.022	1668.559	0.616	-1.975	-0.189	0.046	0.924
572.000	-1.696	572.000	3511943627.828	1334.932	549.081	1884.012	0.291	-1.975	-0.189	-1.096	0.924
573.000	-0.440	573.000	3511943629.329	1183.305	25.061	1208.367	0.021	-1.975	-0.189	-1.096	0.924
574.000	-0.440	574.000	3511943630.838	894.661	333.888	1228.549	0.272	-1.975	-0.189	-1.096	-1.538
575.000	1.362	575.000	3511943632.329	992.119	327.574	1319.693	0.248	-1.975	-0.189	-1.096	-1.538
576.000	1.362	576.000	3511943633.827	802.176	475.080	1277.256	0.372	0.187	-0.189	-1.096	-1.538
577.000	1.394	577.000	3511943635.328	1117.682	491.163	1608.845	0.305	0.187	-0.189	-1.096	-1.538
578.000	1.394	578.000	3511943636.828	988.256	530.433	1518.689	0.349	0.187	-1.426	-1.096	-1.538
579.000	-0.287	579.000	3511943638.336	1697.680	35.619	1733.299	0.021	0.187	-1.426	-1.096	-1.538
580.000	-0.287	580.000	3511943639.837	959.973	597.526	1557.499	0.384	0.187	-1.426	1.105	-1.538
581.000	-1.228	581.000	3511943641.328	687.091	427.523	1114.614	0.384	0.187	-1.426	1.105	-1.538
582.000	-1.228	582.000	3511943642.829	641.270	625.843	1267.113	0.494	0.187	-1.426	1.105	0.544
583.000	-1.494	583.000	3511943644.329	851.415	350.859	1202.274	0.292	0.187	-1.426	1.105	0.544
584.000	-1.494	584.000	3511943645.828	1035.143	238.379	1273.521	0.187	0.194	-1.426	1.105	0.544
585.000	-1.553	585.000	3511943647.329	1479.676	202.070	1681.745	0.120	0.194	-1.426	1.105	0.544
586.000	-1.553	586.000	3511943648.828	1471.462	137.443	1608.905	0.085	0.194	1.598	1.105	0.544
587.000	-0.203	587.000	3511943650.329	1198.402	606.307	1804.709	0.336	0.194	1.598	1.105	0.544
588.000	-0.203	588.000	3511943651.829	1243.246	550.166	1793.411	0.307	0.194	1.598	0.486	0.544
589.000	-0.505	589.000	3511943653.328	496.614	735.166	1231.781	0.597	0.194	1.598	0.486	0.544
590.000	-0.505	590.000	3511943654.838	895.504	276.366	1171.870	0.236	0.194	1.598	0.486	-0.460
591.000	0.248	591.000	3511943656.328	1107.115	147.408	1254.523	0.118	0.194	1.598	0.486	-0.460
592.000	0.248	592.000	3511943657.839	1264.558	212.035	1476.593	0.144	-0.153	1.598	0.486	-0.460
593.000	-0.113	593.000	3511943659.329	1186.369	507.443	1693.812	0.300	-0.153	1.598	0.486	-0.460
594.000	-0.113	594.000	3511943660.838	1104.851	452.782	1557.633	0.291	-0.153	-0.128	0.486	-0.460
595.000	-0.486	595.000	3511943662.328	1052.947	678.630	1731.577	0.392	-0.153	-0.128	0.486	-0.460
596.000	-0.486	596.000	3511943663.828	1243.379	536.550	1779.929	0.301	-0.153	-0.128	-1.588	-0.460
597.000	1.279	597.000	3511943665.328	782.373	408.974	1191.347	0.343	-0.153	-0.128	-1.588	-0.460
598.000	1.279	598.000	3511943666.829	977.378	223.974	1201.352	0.186	-0.153	-0.128	-1.588	0.115
599.000	1.441	599.000	3511943668.329	1087.535	212.430	1299.964	0.163	-0.153	-0.128	-1.588	0.115
600.000	1.441	600.000	3511943669.828	849.728	386.280	1236.008	0.313	-0.039	-0.128	-1.588	0.115
601.000	1.215	601.000	3511943671.338	817.405	794.070	1611.475	0.493	-0.039	-0.128	-1.588	0.115
