Trace
Log Plot
A.14.05,N9000A
264038.141177268,-116.080334727853
271227.257933203,-116.229363289495
278612.116862977,-116.426788116072
286198.047550171,-116.688841883168
293990.524689969,-116.765139038246
301995.172040202,-116.85433231844
310217.76647995,-116.955288644063
318664.242178673,-117.040099215712
327340.694878838,-117.132492512709
336253.386295162,-117.202163370875
345408.748633635,-117.255929833169
354813.389233576,-117.397745603644
364474.095336095,-117.412395377799
374397.838982381,-117.496449074667
384591.782045354,-117.563982128085
395063.281398323,-117.613484084
405819.89422438,-117.757390738515
416869.383470336,-117.793823113138
428219.723449175,-117.85241671803
439879.105595043,-117.973328836535
451855.944374923,-118.055429293164
464158.883361278,-118.135022183332
476796.801470042,-118.235680236848
489778.819368446,-118.276827185477
503114.306057317,-118.483054271776
516812.885632603,-118.498657867659
530884.444230989,-118.545489808154
545339.137164627,-118.690632620233
560187.396250141,-118.682000232263
575439.937337157,-118.811198203637
591107.768041841,-118.835157120252
607202.195690989,-119.023571323174
623734.83548242,-119.011283849815
640717.618867554,-119.111841375653
658162.802162232,-119.18749785141
676082.975391981,-119.40517291523
694491.071378121,-119.438137592228
713400.375071256,-119.566926423668
732824.533138904,-119.582163842605
752777.563814166,-119.595528462166
773273.867012556,-119.684834474431
794328.234724281,-119.658990579926
815955.861689489,-119.671371936334
838172.356364163,-119.71825997869
860993.7521846,-119.761544658751
884436.5191386,-119.802924752083
908517.575651687,-119.826279839576
933254.300796991,-119.971458081756
958664.546837558,-119.941708019064
984766.652110159,-120.1505114941
1011579.4542599,-116.907396796096
1039122.30383517,-116.695605534785
1067415.07825276,-116.644984114907
1096478.19614318,-116.492842220531
1126332.63208666,-116.341316806885
1156999.93175021,-116.211140800638
1188502.22743702,-116.080409974438
1220862.25405907,-116.020150453447
1254103.36554475,-116.071834949864
1288249.55169313,-116.044864925013
1323325.45548722,-115.96027328034
1359356.39087852,-115.908244115772
1396368.36105594,-115.956093658544
1434388.07721197,-115.975915676623
1473442.97781996,-115.851772800932
1513561.24843621,-115.893940266395
1554771.84204117,-115.886612617556
1597104.4999346,-115.926336198036
1640589.77319954,-115.951630836512
1685259.04475075,-115.936818563696
1731144.55198349,-115.996873481198
1778279.41003892,-115.967382577907
1826697.635703,-115.956670412105
1876434.17195608,-115.977890286027
1927524.91319094,-115.947138763238
1980006.73111739,-116.129353816232
2033917.50137229,-116.202946544343
2089296.13085404,-116.254981607539
2146182.58580128,-116.350562705176
2204617.92063618,-116.391502747778
2264644.30759306,-116.385867611658
2326305.06715363,-116.22290673354
2389644.69931102,-116.214230736718
2454708.91568503,-116.343897708097
2521544.67251172,-116.288497614552
2590200.20453132,-116.286499555961
2660725.05979881,-116.305943389847
2733170.13544223,-116.329005132357
2807587.71439473,-116.263094870542
2884031.50312661,-116.19948325477
2962556.67040481,-116.177712759847
3043219.88710772,-116.229188963268
3126079.36712396,-116.224281690671
3211194.90936482,-116.222738164514
3298627.94092063,-116.235669911146
3388441.56139203,-116.225938672982
3480700.58842841,-116.156524903207
3575471.60450621,-115.956941346588
3672823.00498085,-115.792575045177
3772825.04744699,-115.69206334477
3875549.90244286,-115.580895368298
3981071.70553498,-115.496029437295
4089466.61082112,-115.506317017979
4200812.84589007,-115.489702649625
4315190.76827766,-115.571399962764
4432682.92346009,-115.596538666293
4553374.10442625,-115.527459547414
4677351.41287199,-115.560974478167
4804704.32206058,-115.626246325409
4935524.74139481,-115.737896120836
5069907.08274704,-115.722386682059
5207948.32859546,-115.735478739363
5349748.10201537,-115.765846705785
5495408.73857624,-115.821404690279
5645035.36019636,-115.82502060669
5798735.95100831,-115.817297286502
5956621.4352901,-115.864481292893
6118805.75751822,-115.87040494787
6285405.96460025,-115.965153792749
6456542.29034655,-116.008046918556
6632338.2422419,-116.254892687403
6812920.69057962,-116.336949166894
6998419.96002273,-116.459309802379
7188969.92365807,-116.544765790597
7384708.09961117,-116.544784070007
7585775.75029183,-116.489654469104
7792317.98434194,-116.341960661582
8004483.86135892,-116.215954958929
8222426.49947071,-116.193454478433
8446303.18583969,-116.161433536017
8676275.49017531,-116.293867524862
8912509.38133745,-116.297599614272
9155175.34711467,-116.052648369716
9404448.51726353,-116.171065140393
9660508.78989813,-116.297070004291
9923540.96132101,-116.388215980103
10193734.8593887,-116.494807710855
10471285.480509,-116.552486160278
10756393.1303677,-116.421451305435
11049263.5684876,-116.214311117496
11350108.1567231,-116.282621919815
11659144.0117983,-116.222152582398
11976594.1619977,-116.232879646063
12302687.7081238,-116.168011156602
12637659.9888374,-116.128222672458
12981752.7504985,-116.068498830021
13335214.3216332,-116.075597330681
13698299.7921497,-116.055739172519
14071271.1974341,-116.066627894794
14454397.7074593,-116.170342657936
14847955.8210421,-116.225332392237
15252229.5653902,-116.186225381159
15667510.7010815,-116.163652566502
16094098.9326254,-116.061916281476
16532302.1247563,-115.929258530574
16982436.5246174,-116.041136728169
17444826.9899926,-115.982449509531
17919807.2237533,-115.845387864181
18407720.0146896,-115.643462463623
18908917.4848964,-115.406894199645
19423761.3438978,-115.349528121856
19952623.1496888,-115.44018604046
20495884.5768853,-115.623165920181
21053937.6921755,-115.557924301826
21627185.2372702,-115.57828927392
22216040.9195581,-115.396206027025
22820929.7106745,-115.383418148443
23442288.1531992,-115.438535122853
24080564.6757054,-115.466065237013
24736219.9163862,-115.40816765177
25409727.0554931,-115.503073794881
26101572.1568254,-115.483374228458
26812254.5185183,-115.46003595588
27542287.0333817,-115.51088086133
28292196.5590495,-115.574758670304
29062524.2982087,-115.629259840431
29853826.1891796,-115.445856575468
30666673.3071318,-115.461278225508
31501652.2762236,-115.45882586336
32359365.6929629,-115.402086559259
33240432.5610958,-115.394472122343
34145488.738336,-115.375780060992
35075187.3952568,-115.514527073543
36030199.4866785,-115.481386424206
37011214.2358903,-115.495225911926
38018939.6320561,-115.39712869356
39054102.9411638,-115.399302800345
40117451.2308862,-115.343588809416
41209751.909733,-115.483820966194
42331793.2808821,-115.531384899344
43484385.1110907,-115.476650479577
44668359.2150963,-115.451580594707
45884570.05593,-115.461711925602
47133895.3615741,-115.456973256236
48417236.7584099,-115.528582396164
49735520.421914,-115.631823706114
51089697.7450693,-115.585850482501
52480746.0249772,-115.542198356391
53909669.1681638,-115.520429304987
55377498.415089,-115.649390016874
56885293.0843841,-115.631857368669
58434141.3373518,-115.702767988075
60025160.9632815,-115.709933663783
61659500.1861482,-115.787595209878
63338338.4932745,-115.889116161013
65062887.4865558,-115.867190555988
66834391.7568614,-115.896490021488
68654129.7822455,-115.970855695443
70523414.8506112,-116.01815019573
72443596.007499,-116.026149825441
74416059.0296806,-116.109752118882
76442227.42526,-116.148629936705
78523563.4610072,-116.174110957613
80661569.2176614,-116.224777111959
82857787.673969,-116.252209716669
85113803.8202376,-116.269338398229
87431245.8022074,-116.290180147367
89811786.0960694,-116.306514901004
92257142.7154763,-116.415473425025
94769080.451416,-116.466074044403
97349412.1458449,-116.435879778704
100000000,-116.302493964376
