Trace
Log Plot
A.14.05,N9000A
6657.83968225436,-112.125168041206
6839.1164728143,-112.101769899389
7025.32898973052,-112.212934388453
7216.61162083388,-112.36350220587
7413.10241300917,-112.362519728188
7614.94317182231,-112.337904292416
7822.27956386003,-112.445375752313
8035.26122185617,-112.457282293139
8254.04185268019,-112.467428120656
8478.77934826592,-112.420732806967
8709.6358995608,-112.480805472679
8946.77811357749,-112.603721094104
9190.3771336326,-112.5544507832
9440.60876285923,-112.568451057066
9697.6535910825,-112.56564361657
9961.69712514941,-112.551259418982
10232.9299228075,-112.836293120865
10511.5477302287,-113.002902350546
10797.7516232771,-113.162727046331
11091.748152624,-113.22200604652
11393.7494928134,-113.253924634601
11703.9735953862,-113.099366187551
12022.6443461741,-112.934346866924
12349.9917268758,-112.763318805202
12686.2519810326,-112.623854020075
13031.667784523,-112.32719634895
13386.4884206999,-112.083984025397
13750.969960296,-111.958874288331
14125.3754462275,-112.098359706304
14509.9750834299,-111.884136150025
14905.046433862,-112.110931381882
15310.8746168203,-112.342226554712
15727.7525147067,-112.551326224242
16155.9809843987,-112.531163754646
16595.8690743756,-112.497146094219
17047.7342477552,-112.509377892304
17511.9026114046,-112.611374367409
17988.7091512879,-112.597722167387
18478.4979742229,-112.601300963449
18981.6225562196,-112.337079133451
19498.4459975804,-112.096203511644
20029.3412849465,-112.086540648964
20574.6915604784,-112.131218893675
21134.8903983665,-112.145674013153
21710.3420888696,-112.510311736214
22301.4619300874,-112.716840470509
22908.6765276777,-112.878688084514
23532.424102733,-113.059151638446
24173.154808041,-113.198553441639
24831.3310529557,-113.458904437912
25507.4278371136,-113.503014563451
26201.9330932367,-113.343910293598
26915.3480392692,-113.472859752381
27648.1875401011,-113.150504167477
28400.9804791422,-112.958379839477
29174.2701400117,-112.642104382644
29968.6145986212,-112.561438560451
30784.587125933,-112.406464703716
31622.7766016838,-112.385763447694
32483.7879393743,-112.153138636266
33368.2425228294,-112.044989850454
34276.778654645,-112.017593989523
35210.0520168452,-111.935872698236
36168.7361440816,-111.974956701896
37153.5229097173,-111.987012553649
38165.1230251451,-111.936283592391
39204.2665527015,-111.856274512348
40271.7034325459,-111.663354999318
41368.2040238851,-111.512364747909
42494.5596609344,-111.535120854274
43651.5832240166,-111.380427450931
44840.1097262092,-111.432062936256
46060.9969159666,-111.17587667533
47315.1258961481,-111.261412665936
48603.4017599021,-111.258758867404
49926.7542438638,-111.26285487879
51286.1383991365,-111.249770941779
52682.5352805435,-111.245354802533
54116.9526546464,-111.345573873542
55590.4257270404,-111.316227710602
57104.0178894527,-111.33474427061
58658.8214871824,-111.393466087554
60255.9586074358,-111.412189907485
61896.581889126,-111.3944687599
63581.8753547223,-111.276091616134
65313.0552647473,-111.311732089418
67091.3709955411,-111.317413673706
68918.105940925,-111.15141339429
70794.5784384139,-110.994923488121
72722.1427206485,-110.94702566776
74702.1898927332,-110.910965453618
76736.148936182,-110.977420668876
78825.4877402021,-110.828042571531
80971.7141610562,-110.818860588718
83176.3771102672,-110.764620667546
85441.0676724535,-110.846505971545
87767.4202536006,-110.817612435706
90157.1137605956,-110.744259345887
92611.8728128793,-110.792452494141
95133.4689870874,-110.872954911173
97723.722095581,-110.874822567155
100384.501499788,-110.939201757445
103117.727459306,-111.008313213042
105925.372517729,-111.187954253841
108809.462926223,-111.387929129525
111772.080105845,-111.585094038659
114815.362149688,-111.696859488023
117941.505365925,-111.949206862374
121152.765862859,-112.192528355695
124451.461177138,-112.53255925106
127839.971946302,-112.832808999963
131320.743626862,-113.125697710222
134896.288259165,-113.429034997696
138569.186280313,-113.662364706933
142342.088386434,-113.969968341271
146217.717445672,-114.18047545602
150198.870463249,-114.305475313437
154288.420600041,-114.516055354945
158489.319246111,-114.907833456061
162804.5981507,-115.263443414962
167237.371610208,-115.728969917177
171790.838715759,-115.919844845891
176468.28566195,-116.287981211899
181273.08811847,-116.501289073004
186208.713666287,-116.726093868576
191278.72430017,-117.175259694541
196486.778999347,-117.400887632541
201836.636368156,-117.526601879312
207332.157348596,-117.761125268757
212977.308006728,-118.171940508706
218776.162394955,-118.408713926854
224732.905492222,-118.437163633315
230851.836224276,-118.570747836979
237137.370566166,-118.682816707708
243594.044729203,-118.882346835167
250226.518434708,-118.955285829836
257039.578276886,-119.164413192638
264038.141177268,-119.266329825149
271227.257933203,-119.538719366649
278612.116862977,-119.851857089266
286198.047550171,-120.028608866277
293990.524689969,-120.151516792946
301995.172040202,-120.060052906182
310217.76647995,-120.000982843533
318664.242178673,-120.173368625511
327340.694878838,-120.194702560102
336253.386295162,-120.38154649564
345408.748633635,-120.496209162773
354813.389233576,-120.495203925263
364474.095336095,-120.534044682203
374397.838982381,-120.663502867312
384591.782045354,-120.868258104304
395063.281398323,-120.893468154288
405819.89422438,-121.045782735196
416869.383470336,-121.137421854788
428219.723449175,-121.302115867706
439879.105595043,-121.369125616461
451855.944374923,-121.285794934225
464158.883361278,-121.466776093714
476796.801470042,-121.564210056441
489778.819368446,-121.717040975888
503114.306057317,-121.828865029582
516812.885632603,-122.008787712497
530884.444230989,-122.171442533244
545339.137164627,-122.2947342199
560187.396250141,-122.598554051777
575439.937337157,-122.776890735573
591107.768041841,-122.797212233749
607202.195690989,-122.875566508105
623734.83548242,-122.908185742796
640717.618867554,-122.999857272294
658162.802162232,-123.056972881098
676082.975391981,-123.245172645129
694491.071378121,-123.267392819463
713400.375071256,-123.27076956113
732824.533138904,-123.350320079159
752777.563814166,-123.420568024672
773273.867012556,-123.527232792804
794328.234724281,-123.541919722897
815955.861689489,-123.652651138316
838172.356364163,-123.712251240583
860993.7521846,-123.705390876526
884436.5191386,-123.706519072634
908517.575651687,-123.779321344325
933254.300796991,-123.782341634963
958664.546837558,-123.834452829275
984766.652110159,-124.016599682429
1011579.4542599,-122.501425438185
1039122.30383517,-122.286683911589
1067415.07825276,-122.023089651256
1096478.19614318,-121.578430705939
1126332.63208666,-121.199497264911
1156999.93175021,-120.925862097016
1188502.22743702,-120.60554812719
1220862.25405907,-120.297420492768
