Trace
Log Plot
A.14.05,N9000A
11350108.1567231,-121.439113462438
11659144.0117983,-121.32721393901
11976594.1619977,-121.302021132553
12302687.7081238,-121.247753133131
12637659.9888374,-121.221552687488
12981752.7504985,-121.231744035418
13335214.3216332,-121.140887348824
13698299.7921497,-121.110991150525
14071271.1974341,-121.009249385942
14454397.7074593,-120.95891588093
14847955.8210421,-120.98157004755
15252229.5653902,-120.932016650487
15667510.7010815,-121.147245723898
16094098.9326254,-121.105713447284
16532302.1247563,-121.209980454435
16982436.5246174,-121.291520353183
17444826.9899926,-121.338596237953
17919807.2237533,-121.434374675362
18407720.0146896,-121.378199911188
18908917.4848964,-121.425632336208
19423761.3438978,-121.290824021521
19952623.1496888,-121.23539185245
20495884.5768853,-121.306738494987
21053937.6921755,-121.356931486795
21627185.2372702,-121.440121640654
22216040.9195581,-121.337399799444
22820929.7106745,-121.198076614383
23442288.1531992,-121.045292619965
24080564.6757054,-120.963355515378
24736219.9163862,-121.104605042268
25409727.0554931,-121.209171419716
26101572.1568254,-121.206514567221
26812254.5185183,-121.214207012599
27542287.0333817,-121.275035060221
28292196.5590495,-121.375865927535
29062524.2982087,-121.31843620224
29853826.1891796,-121.182723059922
30666673.3071318,-121.112160698908
31501652.2762236,-121.080634674835
32359365.6929629,-121.038138533747
33240432.5610958,-121.006664335658
34145488.738336,-121.155638386697
35075187.3952568,-121.145294635777
36030199.4866785,-121.088309751216
37011214.2358903,-121.136086134278
38018939.6320561,-121.021166209779
39054102.9411638,-120.869538742292
40117451.2308862,-120.766701691235
41209751.909733,-120.740815883994
42331793.2808821,-120.839906866638
43484385.1110907,-120.96382384264
44668359.2150963,-121.022870412157
45884570.05593,-120.984300339659
47133895.3615741,-120.958148748853
48417236.7584099,-121.03306043399
49735520.421914,-121.103710364436
51089697.7450693,-121.089296205404
52480746.0249772,-121.072302582051
53909669.1681638,-121.052786950862
55377498.415089,-121.210091022048
56885293.0843841,-121.188204611027
58434141.3373518,-121.250729037506
60025160.9632815,-121.189710372484
61659500.1861482,-121.198411006758
63338338.4932745,-121.248538661637
65062887.4865558,-121.273872261065
66834391.7568614,-121.408296586915
68654129.7822455,-121.443811087704
70523414.8506112,-121.546950699486
72443596.007499,-121.699800984468
74416059.0296806,-121.804395119848
76442227.42526,-121.927115771453
78523563.4610072,-121.98224755013
80661569.2176614,-122.015063109898
82857787.673969,-122.034291427853
85113803.8202376,-122.063944677802
87431245.8022074,-122.097407040344
89811786.0960694,-122.161223046164
92257142.7154763,-122.35496493616
94769080.451416,-122.545657657942
97349412.1458449,-122.732609309012
100000000,-122.721155907127
