mesurement	 time stamp	N1S0	N3P0	 Ntot	ex.rate	time stamp 2		# AOM frequency A	# AOM frequency B	# Zeeman shift (Hz)	# fHgAOM (Hz)	# drift rate A	# drift rate B
241.000	3.786	241.000	3514346361.400	1839.805	114.552	1954.357	0.059	-0.371	1.517	-1.214	0.128
242.000	3.786	242.000	3514346362.900	1749.095	266.598	2015.693	0.132	-0.371	-1.649	-1.214	0.128
243.000	0.104	243.000	3514346364.400	1538.595	544.739	2083.334	0.261	-0.371	-1.649	-1.214	0.128
256.000	-0.441	256.000	3514346383.900	868.598	1138.318	2006.917	0.567	-0.412	0.395	1.071	1.860
257.000	-3.039	257.000	3514346385.400	2097.946	95.805	2193.752	0.044	-0.412	0.395	1.071	1.860
258.000	-3.039	258.000	3514346386.900	1132.645	927.566	2060.211	0.450	-0.412	0.952	1.071	1.860
259.000	-4.010	259.000	3514346388.400	1916.661	35.224	1951.885	0.018	-0.412	0.952	1.071	1.860
260.000	-4.010	260.000	3514346389.900	1744.700	-31.475	1713.225	-0.018	-0.412	0.952	0.390	1.860
261.000	-2.489	261.000	3514346391.401	1815.784	426.438	2242.222	0.190	-0.412	0.952	0.390	1.860
292.000	-2.020	292.000	3514346437.900	1324.365	1093.031	2417.395	0.452	-0.054	-1.428	-3.939	-3.560
293.000	3.676	293.000	3514346439.400	1978.777	457.912	2436.689	0.188	-0.054	-1.428	-3.939	-3.560
302.000	0.943	302.000	3514346452.901	2231.368	25.555	2256.923	0.011	0.301	3.277	1.959	0.566
303.000	2.061	303.000	3514346454.402	2215.873	-124.320	2091.553	-0.059	0.301	3.277	1.959	0.566
304.000	2.061	304.000	3514346455.900	2134.887	-29.304	2105.583	-0.014	-2.019	3.277	1.959	0.566
305.000	-1.701	305.000	3514346457.401	2157.531	-13.813	2143.718	-0.006	-2.019	3.277	1.959	0.566
332.000	-5.323	332.000	3514346497.902	1988.190	297.283	2285.473	0.130	0.180	1.406	-0.259	-3.399
333.000	-3.547	333.000	3514346499.402	1053.214	800.089	1853.302	0.432	0.180	1.406	-0.259	-3.399
342.000	-6.985	342.000	3514346512.901	2166.989	374.046	2541.034	0.147	-0.084	-0.366	-3.903	-1.466
343.000	-3.983	343.000	3514346514.404	1133.844	826.334	1960.178	0.422	-0.084	-0.366	-3.903	-1.466
344.000	-3.983	344.000	3514346515.901	1387.146	387.267	1774.413	0.218	1.633	-0.366	-3.903	-1.466
345.000	-3.977	345.000	3514346517.403	1707.892	439.462	2147.354	0.205	1.633	-0.366	-3.903	-1.466
346.000	-3.977	346.000	3514346518.902	1730.447	-40.059	1690.388	-0.024	1.633	-0.621	-3.903	-1.466
347.000	-6.351	347.000	3514346520.403	1863.692	193.979	2057.671	0.094	1.633	-0.621	-3.903	-1.466
362.000	3.202	362.000	3514346542.902	1553.557	491.459	2045.017	0.240	0.827	0.549	0.411	-1.891
363.000	2.036	363.000	3514346544.402	1794.294	122.939	1917.233	0.064	0.827	0.549	0.411	-1.891
364.000	2.036	364.000	3514346545.903	1603.774	523.230	2127.004	0.246	0.827	0.549	3.026	-1.891
365.000	0.479	365.000	3514346547.403	698.457	1309.801	2008.258	0.652	0.827	0.549	3.026	-1.891
366.000	0.479	366.000	3514346548.903	2054.124	326.784	2380.908	0.137	0.827	0.549	3.026	1.462
367.000	0.552	367.000	3514346550.403	978.044	776.113	1754.157	0.442	0.827	0.549	3.026	1.462
368.000	0.552	368.000	3514346551.902	1143.257	733.883	1877.140	0.391	0.322	0.549	3.026	1.462
369.000	-0.690	369.000	3514346553.403	1066.933	425.254	1492.187	0.285	0.322	0.549	3.026	1.462
370.000	-0.690	370.000	3514346554.903	1830.081	-146.915	1683.166	-0.087	0.322	1.600	3.026	1.462
371.000	-0.648	371.000	3514346556.403	1179.887	620.515	1800.402	0.345	0.322	1.600	3.026	1.462
394.000	-1.548	394.000	3514346590.903	1975.358	396.344	2371.702	0.167	-1.367	-0.907	-0.575	-0.465
395.000	-4.030	395.000	3514346592.403	2291.397	75.875	2367.272	0.032	-1.367	-0.907	-0.575	-0.465
414.000	2.268	414.000	3514346620.905	1106.050	718.393	1824.442	0.394	-0.116	-1.637	-0.765	3.467
415.000	0.299	415.000	3514346622.406	1353.846	694.121	2047.967	0.339	-0.116	-1.637	-0.765	3.467
424.000	-2.494	424.000	3514346635.903	1181.174	831.465	2012.639	0.413	0.409	-0.698	2.692	-0.924
425.000	-3.541	425.000	3514346637.404	1657.542	494.222	2151.764	0.230	0.409	-0.698	2.692	-0.924
426.000	-3.541	426.000	3514346638.904	1414.319	689.483	2103.802	0.328	0.409	1.285	2.692	-0.924
427.000	-3.748	427.000	3514346640.405	1698.923	769.305	2468.228	0.312	0.409	1.285	2.692	-0.924
428.000	-3.748	428.000	3514346641.905	2009.590	310.504	2320.095	0.134	0.409	1.285	-2.709	-0.924
429.000	0.557	429.000	3514346643.405	1672.683	280.707	1953.390	0.144	0.409	1.285	-2.709	-0.924
430.000	0.557	430.000	3514346644.906	2202.331	59.595	2261.926	0.026	0.409	1.285	-2.709	2.903
431.000	-1.096	431.000	3514346646.406	881.341	793.577	1674.917	0.474	0.409	1.285	-2.709	2.903
432.000	-1.096	432.000	3514346647.904	2350.050	-149.875	2200.175	-0.068	0.863	1.285	-2.709	2.903
433.000	-1.608	433.000	3514346649.404	1316.417	619.923	1936.340	0.320	0.863	1.285	-2.709	2.903
434.000	-1.608	434.000	3514346650.904	1669.042	143.560	1812.602	0.079	0.863	-1.565	-2.709	2.903
435.000	-4.793	435.000	3514346652.404	2189.677	-91.957	2097.719	-0.044	0.863	-1.565	-2.709	2.903
468.000	2.115	468.000	3514346701.906	1636.452	64.528	1700.980	0.038	0.156	1.749	0.365	-1.451
