Record Length,12288,,Source,CH3,CH4
Sample Interval, CH3:0.0000040000000 CH4:0.0000040000000,,Second,Volt,Volt
,,,-0.02435600000,0.00680,7.60000
,,,-0.02435199844,0.00680,7.60000
,,,-0.02434800000,0.00680,7.60000
,,,-0.02434399844,0.00720,8.00000
,,,-0.02434000000,0.00720,7.60000
,,,-0.02433599844,0.00680,7.60000
,,,-0.02433200000,0.00720,7.60000
,,,-0.02432800156,0.00720,7.60000
,,,-0.02432400000,0.00720,7.60000
,,,-0.02432000156,0.00720,7.60000
,,,-0.02431600000,0.00720,7.60000
,,,-0.02431200000,0.00760,7.60000
,,,-0.02430800000,0.00760,7.60000
,,,-0.02430400000,0.00800,7.60000
,,,-0.02430000000,0.00840,7.60000
,,,-0.02429600000,0.00920,7.60000
,,,-0.02429200000,0.01080,7.60000
,,,-0.02428800000,0.01480,7.60000
,,,-0.02428400000,0.02160,7.60000
,,,-0.02428000000,0.04000,7.60000
,,,-0.02427600000,0.04680,7.60000
,,,-0.02427200000,0.03320,7.60000
,,,-0.02426800000,0.01800,7.20000
,,,-0.02426400000,0.01320,7.60000
,,,-0.02426000000,0.01000,7.60000
,,,-0.02425600000,0.00880,7.60000
,,,-0.02425200000,0.00800,7.60000
,,,-0.02424800000,0.00800,7.60000
,,,-0.02424400000,0.00760,7.60000
,,,-0.02424000000,0.00720,7.60000
,,,-0.02423599844,0.00720,7.60000
,,,-0.02423200000,0.00720,7.60000
,,,-0.02422799844,0.00680,7.60000
,,,-0.02422400000,0.00720,7.60000
,,,-0.02421999844,0.00720,7.60000
,,,-0.02421600000,0.00680,7.60000
,,,-0.02421199844,0.00680,7.60000
,,,-0.02420800000,0.00720,7.60000
,,,-0.02420400156,0.00720,7.20000
,,,-0.02420000000,0.00680,7.60000
,,,-0.02419600000,0.00680,7.60000
,,,-0.02419200000,0.00680,7.60000
,,,-0.02418800000,0.00680,7.60000
,,,-0.02418400000,0.00680,7.60000
,,,-0.02418000000,0.00680,7.60000
,,,-0.02417600000,0.00680,7.60000
,,,-0.02417200000,0.00680,7.60000
,,,-0.02416800000,0.00680,7.20000
,,,-0.02416400000,0.00680,7.60000
,,,-0.02416000000,0.00680,7.60000
,,,-0.02415600000,0.00680,7.60000
,,,-0.02415200000,0.00680,7.20000
,,,-0.02414800000,0.00640,7.20000
,,,-0.02414400000,0.00680,7.60000
,,,-0.02414000000,0.00680,7.60000
,,,-0.02413600000,0.00680,7.60000
,,,-0.02413200000,0.00680,7.20000
,,,-0.02412800000,0.00680,7.60000
,,,-0.02412400000,0.00680,7.20000
,,,-0.02412000000,0.00680,7.60000
,,,-0.02411600000,0.00680,7.20000
,,,-0.02411199844,0.00680,7.60000
,,,-0.02410800000,0.00680,7.60000
,,,-0.02410399844,0.00680,7.20000
,,,-0.02410000000,0.00680,7.60000
,,,-0.02409599844,0.00680,7.20000
,,,-0.02409200000,0.00680,7.20000
,,,-0.02408799844,0.00680,7.20000
,,,-0.02408400000,0.00680,7.60000
,,,-0.02408000156,0.00680,7.20000
,,,-0.02407600000,0.00680,7.60000
,,,-0.02407200000,0.00680,7.20000
,,,-0.02406800000,0.00680,7.20000
,,,-0.02406400000,0.00680,7.20000
,,,-0.02406000000,0.00680,7.60000
,,,-0.02405600000,0.00680,7.60000
,,,-0.02405200000,0.00680,7.60000
,,,-0.02404800000,0.00680,7.60000
,,,-0.02404400000,0.00680,7.20000
