Trace1,
Freq,,Amp,,
            19939939,Hz,              -55.44, dBm,
            19944934,Hz,              -46.25, dBm,
            19949929,Hz,              -53.85, dBm,
            19954924,Hz,              -56.14, dBm,
            19959919,Hz,              -55.73, dBm,
            19964914,Hz,              -58.88, dBm,
            19969909,Hz,              -57.45, dBm,
            19974904,Hz,              -55.70, dBm,
            19979899,Hz,              -58.92, dBm,
            19984894,Hz,              -55.60, dBm,
            19989889,Hz,              -54.86, dBm,
            19994884,Hz,              -27.09, dBm,
            19999879,Hz,              -24.06, dBm,
            20004874,Hz,              -55.63, dBm,
            20009869,Hz,              -53.00, dBm,
            20014864,Hz,              -55.28, dBm,
            20019859,Hz,              -53.52, dBm,
            20024854,Hz,              -50.25, dBm,
            20029849,Hz,              -51.36, dBm,
            20034844,Hz,              -51.53, dBm,
            20039839,Hz,              -52.24, dBm,
            20044834,Hz,              -50.46, dBm,
            20049829,Hz,              -40.77, dBm,
            20054824,Hz,              -52.38, dBm,
            20059819,Hz,              -50.81, dBm,
            20064814,Hz,              -52.76, dBm,
            20069809,Hz,              -54.92, dBm,
            20074804,Hz,              -52.28, dBm,
            20079799,Hz,              -51.77, dBm,
            20084794,Hz,              -49.35, dBm,
            20089789,Hz,              -53.02, dBm,
            20094784,Hz,              -54.24, dBm,
            20099779,Hz,              -52.82, dBm,
            20104774,Hz,              -57.06, dBm,
            20109769,Hz,              -54.45, dBm,
            20114764,Hz,              -55.54, dBm,
            20119759,Hz,              -53.88, dBm,
            20124754,Hz,              -55.67, dBm,
            20129749,Hz,              -57.49, dBm,
            20134744,Hz,              -54.92, dBm,
            20139739,Hz,              -55.58, dBm,
            20144734,Hz,              -53.59, dBm,
            20149729,Hz,              -52.19, dBm,
            20154724,Hz,              -56.01, dBm,
            20159719,Hz,              -54.24, dBm,
            20164714,Hz,              -54.67, dBm,
            20169709,Hz,              -54.30, dBm,
            20174704,Hz,              -57.36, dBm,
            20179699,Hz,              -53.30, dBm,
            20184694,Hz,              -52.15, dBm,
            20189689,Hz,              -51.32, dBm,
            20194684,Hz,              -52.07, dBm,
            20199679,Hz,              -53.77, dBm,
            20204674,Hz,              -56.72, dBm,
            20209669,Hz,              -55.34, dBm,
            20214664,Hz,              -56.21, dBm,
            20219659,Hz,              -56.93, dBm,
            20224654,Hz,              -56.26, dBm,
            20229649,Hz,              -54.93, dBm,
            20234644,Hz,              -55.97, dBm,
            20239639,Hz,              -55.99, dBm,
            20244634,Hz,              -54.16, dBm,
            20249629,Hz,              -52.82, dBm,
            20254624,Hz,              -51.48, dBm,
            20259619,Hz,              -52.40, dBm,
            20264614,Hz,              -54.94, dBm,
            20269609,Hz,              -54.55, dBm,
            20274604,Hz,              -55.20, dBm,
            20279599,Hz,              -57.63, dBm,
            20284594,Hz,              -53.78, dBm,
            20289589,Hz,              -53.87, dBm,
            20294584,Hz,              -54.00, dBm,
            20299579,Hz,              -56.13, dBm,
            20304574,Hz,              -57.72, dBm,
            20309569,Hz,              -52.91, dBm,
            20314564,Hz,              -57.41, dBm,
            20319559,Hz,              -56.32, dBm,
            20324554,Hz,              -58.02, dBm,
            20329549,Hz,              -52.63, dBm,
            20334544,Hz,              -59.36, dBm,
            20339539,Hz,              -55.75, dBm,
            20344534,Hz,              -54.99, dBm,
            20349529,Hz,              -52.11, dBm,
            20354524,Hz,              -54.84, dBm,
            20359519,Hz,              -56.24, dBm,
            20364514,Hz,              -55.03, dBm,
            20369509,Hz,              -56.01, dBm,
            20374504,Hz,              -55.57, dBm,
            20379499,Hz,              -54.77, dBm,
            20384494,Hz,              -52.96, dBm,
            20389489,Hz,              -52.66, dBm,
            20394484,Hz,              -56.11, dBm,
            20399479,Hz,              -57.34, dBm,
            20404474,Hz,              -53.90, dBm,
            20409469,Hz,              -54.36, dBm,
            20414464,Hz,              -55.24, dBm,
            20419459,Hz,              -56.11, dBm,
            20424454,Hz,              -56.88, dBm,
            20429449,Hz,              -55.83, dBm,
            20434444,Hz,              -56.03, dBm,
            20439439,Hz,              -58.51, dBm,
            20444434,Hz,              -56.31, dBm,
            20449429,Hz,              -56.95, dBm,
            20454424,Hz,              -59.77, dBm,
            20459419,Hz,              -55.69, dBm,
            20464414,Hz,              -57.45, dBm,
            20469409,Hz,              -54.25, dBm,
            20474404,Hz,              -55.24, dBm,
            20479399,Hz,              -54.93, dBm,
            20484394,Hz,              -55.68, dBm,
            20489389,Hz,              -54.60, dBm,
            20494384,Hz,              -52.94, dBm,
            20499379,Hz,              -55.46, dBm,
            20504374,Hz,              -55.68, dBm,
            20509369,Hz,              -54.82, dBm,
            20514364,Hz,              -56.38, dBm,
            20519359,Hz,              -54.77, dBm,
            20524354,Hz,              -53.79, dBm,
            20529349,Hz,              -55.01, dBm,
            20534344,Hz,              -57.58, dBm,
            20539339,Hz,              -55.91, dBm,
            20544334,Hz,              -54.47, dBm,
            20549329,Hz,              -55.61, dBm,
            20554324,Hz,              -54.66, dBm,
            20559319,Hz,              -53.05, dBm,
            20564314,Hz,              -53.68, dBm,
            20569309,Hz,              -54.51, dBm,
            20574304,Hz,              -56.57, dBm,
            20579299,Hz,              -54.21, dBm,
